Page Id	URL	Name	Subject	Section Header	Section Index	PageViews		Name Override	Subject Re-mapping	Section Re-mapping	Omit	miles_work
page-1647	List_of_jazz_trumpeters	List of jazz trumpeters	musicians	d	9	27972			other			
page-1612	List_of_avant-garde_artists	List of avant-garde artists	people	avant garde jazz composers performance artists	21	27946			other			
page-1986	Music_of_Ohio	Music of Ohio	places	jazz	15	27143			other			
page-906	Farfisa	Farfisa	companies	history	23	27107			other			
page-1689	List_of_Telecaster_players	List of Telecaster players	musicians	qz	16	26779			other			
page-1621	List_of_concept_albums	List of concept albums	works	d	12	25907			other			
page-782	Double_harmonic_scale	Double harmonic scale	genres	first paragraph	0	25848			other			
page-1613	List_of_bass_guitarists	List of bass guitarists	musicians	b	9	25403			other			
page-1613	List_of_bass_guitarists	List of bass guitarists	musicians	b	9	25403			other			
page-1613	List_of_bass_guitarists	List of bass guitarists	musicians	m	36	25403			other			
page-1641	List_of_jazz_bassists	List of jazz bassists	musicians	first paragraph	0	25264			other			
page-1641	List_of_jazz_bassists	List of jazz bassists	musicians	g	32	25264			other			
page-1641	List_of_jazz_bassists	List of jazz bassists	musicians	l	46	25264			other			
page-1359	Jazz_guitar	Jazz guitar	musicians	history	18	23542			other			
page-1573	Legacy_Recordings	Legacy Recordings	musicians	list of notable artists	17	23008			other			
page-1953	Monster_Cable	Monster Cable	companies	history	25	22437			other			
page-1623	List_of_cover_versions_of_Michael_Jackson_songs	List of cover versions of Michael Jackson songs	works	m	32	22388			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
page-1644	List_of_jazz_fusion_musicians	List of jazz fusion musicians	musicians	first paragraph	0	22325			other			
