Page Id	URL	Name	EntityType	PageViews	subject	miles_work
1095	Gidon_Kremer	Gidon Kremer	musical artist	18881	musicians	
894	Extended_technique	Extended technique	Thing	14255	other	
1586	Leontyne_Price	Leontyne Price	agent	86695	musicians	
2873	The_Fillmore	The Fillmore	venue	45147	places	
1217	How_High_the_Moon	How High the Moon	musical work	17633	recording	
1663	List_of_people_from_Michigan	List of people from Michigan	Thing	46684	other	
1151	Gunther_Schuller	Gunther Schuller	agent	21184	musicians	
1988	Music_of_the_United_Kingdom_(1970s)	Music of the United Kingdom (1970s)	Thing	20376	other	
2028	Ned_Lagin	Ned Lagin	musical artist	6306	musicians	
2490	Silence	Silence	agent	51035	other	
1061	Gary_Peacock	Gary Peacock	musical artist	10615	musicians	
1935	Miroslav_Vitou%C5%A1	Miroslav Vitouš	musical artist	12296	musicians	
1647	List_of_jazz_trumpeters	List of jazz trumpeters	Thing	27972	other	
2271	Praxis_(band)	Praxis (band)	Band	17091	musicians	
1869	Michael_Manring	Michael Manring	musical artist	8929	musicians	
2481	Shelly_Manne	Shelly Manne	musical artist	16209	musicians	
852	Electro_(music)	Electro (music)	genre	68328	genres	
2547	Sorcerer_(film)	Sorcerer (film)	Q11424	65013	films	
2200	Pleasantville_(film)	Pleasantville (film)	Q11424	187069	recording	
2890	The_Hot_Spot	The Hot Spot	Q11424	36255	recording	
1958	Montreux_Jazz_Festival	Montreux Jazz Festival	populated place	31683	events	
103	46th_Annual_Grammy_Awards	46th Annual Grammy Awards	award	15217	events	
1626	List_of_double_albums	List of double albums	Thing	6591	other	
122	A_Lump_of_Coal	A Lump of Coal	album	1653	recording	1
1424	Joe_Henderson	Joe Henderson	musical artist	28562	musicians	
2619	Stuart_Hall_(cultural_theorist)	Stuart Hall (cultural theorist)	scientist	67802	people	
1122	Grammy_Award_for_Best_Historical_Album	Grammy Award for Best Historical Album	Group100031264	4242	events	
4012	Yumi_Matsutoya	Yumi Matsutoya	musical artist	12484	musicians	
1120	Grammy_Award_for_Best_Album_Notes	Grammy Award for Best Album Notes	Signal106791372	5036	events	
1130	Grammy_Award_for_Best_Recording_Package	Grammy Award for Best Recording Package	Group100031264	17079	events	
778	Dorian_mode	Dorian mode	Manner104928903	65349	other	
2126	Out_of_Sight	Out of Sight	Q11424	96718	recording	
3074	Toto_(band)	Toto (band)	Band	502512	musicians	
2448	Scott_LaFaro	Scott LaFaro	musical artist	18387	musicians	
1310	Jack_DeJohnette	Jack DeJohnette	musical artist	25476	musicians	
162	Al_Foster	Al Foster	musical artist	6535	musicians	
1517	Kenny_Clarke	Kenny Clarke	musical artist	13407	musicians	
2302	Quintet	Quintet	Thing	15664	other	
513	Cassandra_Wilson	Cassandra Wilson	musical artist	34793	musicians	
1771	Lyle_Mays	Lyle Mays	musical artist	12948	musicians	
2270	Post_(Bj%C3%B6rk_album)	Post (Björk album)	album	53804	recording	
3784	Wayne_Coyne	Wayne Coyne	musical artist	119247	musicians	
171	Alan_Rubin	Alan Rubin	musical artist	24887	musicians	
2160	Pearls_Before_Swine_(comics)	Pearls Before Swine (comics)	AmericanComicStrips	34373	other	
763	Dolores_O%27Riordan	Dolores O'Riordan	Thing	193460	musicians	
771	Don_Martin_(cartoonist)	Don Martin (cartoonist)	agent	20262	people	
